created_at,entry_id,PIR,IR,Color Code,Alert
2025-06-09T09:48:54+00:00,245,1,0,0,1
2025-06-09T09:49:12+00:00,246,1,0,0,1
2025-06-09T09:49:33+00:00,247,1,0,0,1
2025-06-09T09:49:52+00:00,248,0,0,0,0
2025-06-09T09:50:13+00:00,249,0,0,0,0
2025-06-09T09:50:14+00:00,250,0,0,0,0
2025-06-09T09:50:32+00:00,251,0,0,0,0
2025-06-09T09:50:33+00:00,252,0,0,0,0
2025-06-09T09:50:50+00:00,253,0,0,0,0
2025-06-09T09:50:51+00:00,254,0,0,0,0
2025-06-09T09:51:09+00:00,255,0,0,0,0
2025-06-09T09:51:10+00:00,256,0,0,0,0
2025-06-09T09:51:28+00:00,257,0,0,0,0
2025-06-09T09:51:29+00:00,258,0,0,0,0
2025-06-09T09:51:47+00:00,259,0,0,0,0
2025-06-09T09:51:48+00:00,260,0,0,0,0
2025-06-09T09:52:06+00:00,261,0,0,0,0
2025-06-09T09:52:07+00:00,262,0,0,0,0
2025-06-09T09:52:25+00:00,263,0,0,0,0
2025-06-09T09:52:26+00:00,264,0,0,0,0
2025-06-09T09:52:45+00:00,265,0,0,0,0
2025-06-09T09:53:04+00:00,266,0,0,0,0
2025-06-09T09:53:05+00:00,267,0,0,0,0
2025-06-09T09:53:23+00:00,268,1,0,0,1
2025-06-09T09:53:25+00:00,269,1,0,0,1
2025-06-09T09:53:43+00:00,270,1,0,0,1
2025-06-09T09:53:44+00:00,271,1,0,0,1
2025-06-09T09:54:03+00:00,272,1,0,0,1
2025-06-09T09:54:22+00:00,273,1,0,0,1
2025-06-09T09:54:41+00:00,274,1,0,0,1
2025-06-09T09:54:42+00:00,275,1,0,0,1
2025-06-09T09:55:03+00:00,276,1,0,0,1
2025-06-09T09:55:23+00:00,277,1,0,0,1
2025-06-09T09:55:42+00:00,278,1,0,0,1
2025-06-09T09:55:43+00:00,279,1,0,0,1
2025-06-09T09:56:03+00:00,280,1,0,0,1
2025-06-09T09:56:04+00:00,281,1,0,0,1
2025-06-09T09:56:23+00:00,282,0,0,0,0
2025-06-09T09:56:24+00:00,283,0,0,0,0
2025-06-09T09:56:42+00:00,284,0,0,0,0
2025-06-09T09:56:44+00:00,285,0,0,0,0
2025-06-09T09:57:04+00:00,286,0,0,0,0
2025-06-09T09:57:05+00:00,287,0,0,0,0
2025-06-09T09:57:25+00:00,288,0,0,0,0
2025-06-09T09:57:28+00:00,289,0,0,0,0
2025-06-09T09:57:46+00:00,290,0,0,0,0
2025-06-09T09:57:47+00:00,291,0,0,0,0
2025-06-09T09:58:06+00:00,292,0,0,0,0
2025-06-09T09:58:07+00:00,293,0,0,0,0
2025-06-09T09:58:27+00:00,294,1,0,0,1
2025-06-09T09:58:46+00:00,295,1,0,0,1
2025-06-09T09:59:05+00:00,296,1,0,0,1
2025-06-09T09:59:06+00:00,297,1,0,0,1
2025-06-09T09:59:25+00:00,298,1,0,0,1
2025-06-09T09:59:26+00:00,299,1,0,0,1
2025-06-09T09:59:43+00:00,300,1,0,0,1
2025-06-09T09:59:44+00:00,301,1,0,0,1
2025-06-09T10:00:03+00:00,302,1,0,0,1
2025-06-09T10:00:04+00:00,303,1,0,0,1
2025-06-09T10:00:21+00:00,304,1,0,0,1
2025-06-09T10:00:22+00:00,305,1,0,0,1
2025-06-09T10:00:40+00:00,306,1,0,0,1
2025-06-09T10:00:41+00:00,307,1,0,0,1
2025-06-09T10:01:03+00:00,308,1,0,0,1
2025-06-09T10:01:04+00:00,309,1,0,0,1
2025-06-09T10:01:22+00:00,310,0,0,0,0
2025-06-09T10:01:23+00:00,311,0,0,0,0
2025-06-09T10:01:41+00:00,312,0,0,0,0
2025-06-09T10:01:42+00:00,313,0,0,0,0
2025-06-09T10:02:02+00:00,314,0,0,0,0
2025-06-09T10:02:20+00:00,315,0,0,0,0
2025-06-09T10:02:21+00:00,316,0,0,0,0
2025-06-09T10:02:39+00:00,317,0,0,0,0
2025-06-09T10:02:40+00:00,318,0,0,0,0
2025-06-09T10:02:58+00:00,319,0,0,0,0
2025-06-09T10:02:59+00:00,320,0,0,0,0
2025-06-09T10:03:17+00:00,321,1,0,0,1
2025-06-09T10:03:18+00:00,322,1,0,0,1
2025-06-09T10:03:36+00:00,323,1,0,0,1
2025-06-09T10:03:55+00:00,324,1,0,0,1
2025-06-09T10:03:56+00:00,325,1,0,0,1
2025-06-09T10:04:14+00:00,326,1,0,0,1
2025-06-09T10:04:15+00:00,327,1,0,0,1
2025-06-09T10:04:32+00:00,328,1,0,0,1
2025-06-09T10:04:33+00:00,329,1,0,0,1
2025-06-09T10:04:51+00:00,330,1,0,0,1
2025-06-09T10:04:52+00:00,331,1,0,0,1
2025-06-09T10:05:14+00:00,332,1,0,0,1
2025-06-09T10:05:15+00:00,333,1,0,0,1
2025-06-09T10:05:33+00:00,334,1,0,0,1
2025-06-09T10:05:34+00:00,335,1,0,0,1
2025-06-09T10:05:53+00:00,336,1,0,0,1
2025-06-09T10:05:54+00:00,337,1,0,0,1
2025-06-09T10:06:13+00:00,338,0,0,0,0
2025-06-09T10:06:14+00:00,339,0,0,0,0
2025-06-09T10:06:33+00:00,340,0,0,0,0
2025-06-09T10:06:34+00:00,341,0,0,0,0
2025-06-09T10:06:53+00:00,342,0,0,0,0
2025-06-09T10:06:54+00:00,343,0,0,0,0
2025-06-09T10:07:12+00:00,344,1,0,0,1
2025-06-09T10:07:13+00:00,345,1,0,0,1
2025-06-09T10:07:30+00:00,346,1,0,0,1
2025-06-09T10:07:31+00:00,347,1,0,0,1
2025-06-09T10:07:50+00:00,348,1,0,0,1
2025-06-09T10:07:51+00:00,349,1,0,0,1
2025-06-09T10:08:10+00:00,350,1,0,0,1
2025-06-09T10:08:11+00:00,351,1,0,0,1
2025-06-09T10:08:33+00:00,352,1,0,0,1
2025-06-09T10:08:34+00:00,353,1,0,0,1
2025-06-09T10:08:53+00:00,354,1,0,0,1
2025-06-09T10:09:13+00:00,355,1,0,0,1
2025-06-09T10:09:32+00:00,356,1,0,0,1
2025-06-09T10:09:33+00:00,357,1,0,0,1
2025-06-09T10:09:51+00:00,358,1,0,0,1
2025-06-09T10:09:52+00:00,359,1,0,0,1
2025-06-09T10:10:10+00:00,360,1,0,0,1
2025-06-09T10:10:13+00:00,361,1,0,0,1
2025-06-09T10:10:33+00:00,362,1,0,0,1
2025-06-09T10:10:34+00:00,363,1,0,0,1
2025-06-09T10:10:52+00:00,364,1,0,0,1
2025-06-09T10:11:12+00:00,365,1,0,0,1
2025-06-09T10:11:13+00:00,366,1,0,0,1
2025-06-09T10:11:32+00:00,367,1,0,0,1
2025-06-09T10:11:33+00:00,368,1,0,0,1
2025-06-09T10:11:54+00:00,369,1,0,0,1
2025-06-09T10:11:55+00:00,370,1,0,0,1
2025-06-09T10:12:16+00:00,371,1,0,0,1
2025-06-09T10:12:17+00:00,372,1,0,0,1
2025-06-09T10:12:37+00:00,373,1,0,0,1
2025-06-09T10:12:56+00:00,374,1,0,0,1
2025-06-09T10:13:00+00:00,375,1,0,0,1
2025-06-09T10:13:18+00:00,376,1,1,1,0
2025-06-09T10:13:37+00:00,377,1,1,1,0
2025-06-09T10:13:38+00:00,378,1,1,1,0
2025-06-09T10:13:56+00:00,379,1,1,3,0
2025-06-09T10:13:57+00:00,380,1,1,3,0
2025-06-09T10:14:16+00:00,381,1,1,3,0
2025-06-09T10:14:34+00:00,382,1,1,1,0
2025-06-09T10:14:35+00:00,383,1,1,1,0
2025-06-09T10:14:53+00:00,384,1,1,2,0
2025-06-09T10:14:55+00:00,385,1,1,2,0
2025-06-09T10:15:13+00:00,386,1,1,2,0
2025-06-09T10:15:14+00:00,387,1,1,2,0
2025-06-09T10:15:35+00:00,388,1,1,2,0
2025-06-09T10:15:36+00:00,389,1,1,2,0
2025-06-09T10:15:54+00:00,390,1,1,3,0
2025-06-09T10:15:55+00:00,391,1,1,3,0
2025-06-09T10:16:14+00:00,392,1,1,3,0
2025-06-09T10:16:15+00:00,393,1,1,3,0
2025-06-09T10:16:33+00:00,394,1,0,0,1
2025-06-09T10:16:34+00:00,395,1,0,0,1
2025-06-09T10:16:52+00:00,396,1,0,0,1
2025-06-09T10:16:53+00:00,397,1,0,0,1
2025-06-09T10:17:11+00:00,398,1,1,3,0
2025-06-09T10:17:30+00:00,399,1,1,1,0
2025-06-09T10:17:49+00:00,400,1,1,3,0
2025-06-09T10:18:09+00:00,401,1,1,3,0
